Print	Name	Mod_column	Legend	Units	Conv_factor
yes	Turbo Temperatures	Turbocharger/Turbocharger-1/Tempeature/Node_T[degC]	Node_T	degC	1
yes	Turbo Temperatures	Turbocharger/Turbocharger-1/Tempeature/Node_H1[degC]	Node_H1	degC	1
yes	Turbo Temperatures	Turbocharger/Turbocharger-1/Tempeature/Node_H2[degC]	Node_H2	degC	1
yes	Turbo Temperatures	Turbocharger/Turbocharger-1/Tempeature/Node_H3[degC]	Node_H3	degC	1
yes	Turbo Temperatures	Turbocharger/Turbocharger-1/Tempeature/Node_C[degC]	Node_C	degC	1
yes	Cyl. Temperatures	Cylinder/Cylinder-1/PistonTemperature[degC]	Piston	degC	1
yes	Cyl. Temperatures	Cylinder/Cylinder-1/LinerTemperature[degC]	Liner	degC	1
yes	Cyl. Temperatures	Cylinder/Cylinder-1/CylinderHeadTemperature[degC]	Cylinder Head	degC	1
yes	Turbo Heats	Turbocharger/Turbocharger-1/Heat/ToAmbient[kW]	To Ambient	kW	1
yes	Turbo Heats	Turbocharger/Turbocharger-1/Heat/ToOil[kW]	To Oil	kW	1
yes	Turbo Heats	Turbine/Turbine-1/Heat[kW]	Turbine	kW	-1
yes	Turbo Heats	Compressor/Compressor-1/Heat[kW]	Compressor	kW	1
yes	Turbo Efficiencies	Compressor/Compressor-1/Efficiency[-]	Compressor	-	1
yes	Turbo Efficiencies	Turbine/Turbine-1/Efficiency[-]	Turbine	-	1
yes	Cyl. Coolant Temp.	Cylinder/Cylinder-1/CoolantTemperature[degC]	Inlet	degC	1
yes	Cyl. Coolant Temp.	Cylinder/Cylinder-1/CoolantOutletTemp[degC]	Outlet	degC	1
yes	Cyl. Oil Temp.	Cylinder/Cylinder-1/OilTemperature[degC]		degC	1
yes	Cyl. Coolant Flow	HydrCircuit/MainCoolantCircuit/Cylinder-1/Flow[L/min]	Cylinder-1	L/min	1
yes	Cyl. Coolant Flow	HydrCircuit/MainCoolantCircuit/Cylinder-2/Flow[L/min]	Cylinder-2	L/min	1
yes	Cyl. Coolant Flow	HydrCircuit/MainCoolantCircuit/Cylinder-3/Flow[L/min]	Cylinder-3	L/min	1
yes	Cyl. Coolant Flow	HydrCircuit/MainCoolantCircuit/Cylinder-4/Flow[L/min]	Cylinder-4	L/min	1
yes	Thermostat Opening	HydrCircuit/MainCoolantCircuit/RadiatorThermostat/Opening[0-1]		0-1	1
yes	Thermostat RefTemp.	HydrCircuit/MainCoolantCircuit/RadiatorThermostat/RefTemp[degC]		degC	1
yes	Cyl. Head Coolant In Temp.	HydrCircuit/MainCoolantCircuit/CylinderHead-1/InletTemp[degC]	CylinderHead-1	degC	1
yes	Cyl. Head Coolant In Temp.	HydrCircuit/MainCoolantCircuit/CylinderHead-2/InletTemp[degC]	CylinderHead-2	degC	1
yes	Cyl. Head Coolant In Temp.	HydrCircuit/MainCoolantCircuit/CylinderHead-3/InletTemp[degC]	CylinderHead-3	degC	1
yes	Cyl. Head Coolant In Temp.	HydrCircuit/MainCoolantCircuit/CylinderHead-4/InletTemp[degC]	CylinderHead-4	degC	1
yes	Heat Accum. Structure	Cylinder/Cylinder-1/HeatAccumStructure[kW]	Cylinder-1	kW	1
yes	Heat Accum. Structure	Cylinder/Cylinder-2/HeatAccumStructure[kW]	Cylinder-2	kW	1
yes	Heat Accum. Structure	Cylinder/Cylinder-3/HeatAccumStructure[kW]	Cylinder-3	kW	1
yes	Heat Accum. Structure	Cylinder/Cylinder-4/HeatAccumStructure[kW]	Cylinder-4	kW	1
yes	LPEGR Cooler Pressure	Pipe/LPEGRCoolerInlet/0.990m/Pressure[bar]/Static	Inlet	bar	1
yes	LPEGR Cooler Pressure	Pipe/LPEGRCoolerOutlet/0.990m/Pressure[bar]/Static	Outlet	bar	1
yes	LPEGR Cooler Temperature	Pipe/LPEGRCoolerInlet/0.990m/Temperature[degC]/Static	Inlet	degC	1
yes	LPEGR Cooler Temperature	Pipe/LPEGRCoolerOutlet/0.990m/Temperature[degC]/Static	Outlet	degC	1
yes	WCAC Pressure	Plenum/WCACInlet-1/Pressure[bar]	Inlet	bar	1
yes	WCAC Pressure	Plenum/WCACOutlet-1/Pressure[bar]	Outlet	bar	1
yes	WCAC Temperature	Plenum/WCACInlet-1/Temperature[degC]	Inlet	degC	1
yes	WCAC Temperature	Plenum/WCACOutlet-1/Temperature[degC]	Outlet	degC	1
yes	Exh. Manifold Temp.	Pipe/Cyl1Outlet_1/0.010m/InternalWallTemperature[degC]	Cylinder Outlet	degC	1
