Print	Name	Ref_column	Mod_column	Units	ModToRef_factor	Ymin	Ymax
Yes	Engine torque	DynoTorque	Engine/BrakeTorque[Nm]	Nm	1	0	400
Yes	Engine power	DynoPower	Engine/BrakePower[kW]	Kw	1	0	NA
Yes	Boost pressure	ASMod_pIntMnf_1	Pipe/CompressorOutlet/1.710m/Pressure[bar]/Static	mbar	1000	1000	NA
Yes	Turbine Inlet Pressure	P_E_Turb	Pipe/TurbineInlet/0.010m/Pressure[bar]/Static	bar	1	1	NA
Yes	Turbine Inlet Temperature	T_E_Turb	Pipe/TurbineInlet/0.010m/Temperature[degC]/Static	degC	1	0	1000
Yes	WCAC Outlet Temperature	T_adm_media	Plenum/WCACOutlet-1/Temperature[degC]	degC	1	NA	NA
Yes	Mass Flow	M_Aire	Pipe/AirFilterOutlet/0.010m/MassFlow[kg/s]	Kg/h	3600	0	450
Yes	EGR Mass Flow	MEGR	Pipe/LPEGRCoolerOutlet/0.010m/MassFlow[kg/s]	Kg/h	3600	0	NA
Yes	EGR Rate	EGR	Pipe/LPEGRCoolerOutlet/0.010m/MassFlow[kg/s]	%	1	0	60
Yes	HP EGR Rate	EGR	Pipe/Cyl1Inlet_1/0.078m/MassFlow[kg/s],Pipe/Cyl1Inlet_1/0.078m/MassFlow[kg/s],Pipe/Cyl1Inlet_1/0.078m/MassFlow[kg/s],Pipe/Cyl1Inlet_1/0.078m/MassFlow[kg/s],Pipe/Cyl1Inlet_1/0.078m/MassFlow[kg/s],Pipe/Cyl1Inlet_1/0.078m/MassFlow[kg/s],Pipe/Cyl1Inlet_1/0.078m/MassFlow[kg/s],Pipe/Cyl1Inlet_1/0.078m/MassFlow[kg/s]	%	1	0	60
Yes	Oil Temperature	T_Oil1	HydrCircuit/OilCircuit-1/ObjectTemp[degC]/pipe/OilCoolerOutlet	degC	1	80	120
Yes	Oil Cooler Flow	Vxx_et_psn_raw_mv_tot_1	HydrCircuit/OilCircuit-1/OilCooler/Flow[L/min]	L/min	1	NA	NA
Yes	Coolant Temperature	T_S_W_Mot	HydrCircuit/CoolantCircuit-1/ObjectTemp[degC]/pipe/EngineValveInlet	degC	1	75	100
Yes	Heat to the walls	CALMEC/HeatTransfered[kW]	Engine/HeatTransfered[kW]	kW	-1	NA	NA
Yes	Turbine Outlet Temperature	T_S_Turb	Pipe/TurbineOutlet/0.010m/Temperature[degC]/Static	degC	1	1	NA
Yes	IMEP	 Presión_media_indicada_h.p.(bar)	Engine/IMEP[bar]	bar	1	NA	NA
Yes	Maximum Pressure	 Presión_máxima(bar)	Cylinder/Cylinder-1/MaximumPressure[bar]	bar	1	NA	NA
Yes	Maximum Temperature	 Temperatura_máxima(ºC)	Cylinder/Cylinder-1/MaximumTemperature[degC]	degC	1	NA	NA
Yes	Cylinder Head Temperature	 Temperatura_media_de_la_culata(ºC)	Cylinder/Cylinder-1/CylinderHeadTemperature[degC]	degC	1	NA	NA
Yes	Liner Temperature	 Temperatura_media_del_cilindro(ºC)	Cylinder/Cylinder-1/LinerTemperature[degC]	degC	1	NA	NA
Yes	Piston Temperature	 Temperatura_media_del_pistón(ºC)	Cylinder/Cylinder-1/PistonTemperature[degC]	degC	1	NA	NA
Yes	Pressure at IVC	 Presión_en_el_cierre_de_la_Admisión(bar)	Cylinder/Cylinder-1/PressureAtIVC[bar]	bar	1	1	NA
Yes	Temperature at IVC	 Temperatura_al_cierre_de_la_admisión(ºC)	Cylinder/Cylinder-1/TemperatureAtIVC[degC]	degC	1	NA	NA
Yes	Volumetric Efficiency	vol_eff	Engine/IntakeVolEffRefTo_[-]	-	1	NA	NA
Yes	Turbine Outlet Pressure	P_S_Turb	Pipe/TurbineOutlet/0.010m/Pressure[bar]/Static	bar	1	1	NA
